url,title,description,price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ,Thuộc dự án
https://alonhadat.com.vn/biet-thu-khu-do-thi-eden-rose-thanh-liet-140m2-4-tang-mt-9m-gia-22-5-ty-13563708.html,"Biệt thự Khu Đô Thị Eden Rose Thanh Liệt 140m2, 4 Tầng, MT 9m, Giá  22.5 tỷ","Biệt Thự Siêu Vip - Tặng Toàn Bộ Nội Thất Siêu Xịn Trị Giá 4 Tỷ - Đặc Biệt Móng Được Gia Cố Bằng 20 Tấn Đá Thạch Anh Cực Chắc Chắn  Phong Thuỷ.
+ Diện tích : 140m2, 4 tầng, Mặt tiền 9m

 MÔ TẢ : Biệt thự 4 tầng — Vị Trí Đắc Địa
 Tầng 1 : Sơn vườn, Phòng khách, Bếp, Vệ Sinh.
 Tầng 2 : Mỗi tầng 2 Phòng Ngủ + 2 Vệ Sinh.
 Tầng 4 : Phòng thờ + Sân Phơi + Ban Công.
 Khu vực An Ninh Cực Tốt, Bảo vệ trực 24/24 - kiểm soát ra vào.

 Khu đô thị Eden Rose có vị trí thuận lợi, Gần Toà Án, Viện Kiểm Soát Nhân Dân Thành Phố Hà Nội, liền kề Công viên Chu Văn. An(100ha). Cách khu đô thị The Manor Central Park 900m, cách đường Nguyễn Xiển 2,2km. Với kết nối hạ tầng đồng bộ, 5 phút di chuyển tới Nguyễn Xiển, 10ph tới Khu đô thị Linh Đàm.
 Dự án nằm trong chuỗi đô thị hiện đại khu phía Tây và Đông Nam Hà Nội: KĐT Dương Nội, KĐT Biệt thự cao cấp Park City, khu đô thị Văn Phú. Khu Đô Thị The Manor Central Park… với nhiều dịch vụ tiện ích có sẵn như: Bệnh viện K, Bệnh viện Quân Y, ga Hà Đông.
 Tiện ích đẳng cấp, mật độ xây dựng thấp chỉ 27.7%
 Hệ thống an ninh 24/7
Hệ thống an ninh đa lớp gồm tường rào bao bọc toàn bộ khuôn viên, camera quan sát và hệ thống cảnh báo an ninh 24/7 giúp cư dân an tâm tận hưởng cuộc sống chất lượng.
 Pháp lý chuẩn, cất két sẵn sàng giao dịch ngay.
+ giá 22,5 tỷ","22,5 tỷ",140 m2,"Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",13563708,_,True,Cần bán,12m,True,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,True,9m,4,True,16m,4,---,Khu biệt thự The Eden Rose (xem chi tiết dự án)
https://alonhadat.com.vn/sieu-pham-nha-pho-tuong-mai-moi-100-35m-5tang-nhinh-4ty-tien-ich-dinh-13629008.html,SIÊU PHẨM NHÀ PHỐ TƯƠNG MAI-MỚI 100%-35M- 5TẦNG-NHỈNH 4TỶ- TIỆN ÍCH ĐỈNH,"🍀🏡🏘️SIÊU PHẨM NHÀ PHỐ TƯƠNG MAI - NGUYỄN AN NINH 
👉Còn 1 Căn GÓC THÔNG THOÁNG
Nhà vừa lau dọn xong - Mới 100%
❤️ Thông số: 30/35m 5 Tầng Full bê tông
❤️Nhà mình chính chủ xây dựng tâm huyết từ móng.
❤️Sổ đỏ chính chủ sẵn sàng GD
❤️Giá: 4.x ty Tuỳ vào độ thích của khách.","4,85 tỷ",35 m2,"Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",13629008,_,True,Cần bán,3m,True,Nhà trong hẻm,---,True,4m,5,---,8m,4,---,
https://alonhadat.com.vn/phan-lo-den-lu-oto-tranh-kinh-doanh-van-phong-gan-cong-vien-65m-dan-tri-cao-thong-so-dep-13627264.html,PHÂN LÔ ĐỀN LỪ-OTO TRÁNH-KINH DOANH VĂN PHÒNG-GẦN CÔNG VIÊN-65M-DÂN TRÍ CAO-THÔNG SỐ ĐẸP,"PHÂN LÔ, Ô TÔ TRÁNH, KINH DOANH VĂN PHÒNG, GẦN CÔNG VIÊN, HỒ ĐỀN LỪ, TIỆN ÍCH ĐỦ THỨ

Mô tả:
+ Vị trí: khu dân trí, văn minh, sầm uất. Phân lô ô tô tránh, đỗ, vào nhà. Cách 20m ra công viên. Cáchvài bước chân ra mặt phố Tân Mai và Hồ Đền Lừ. Thích hợp để ở, KINH DOANH NHÀ NGHỈ, VĂN PHÒNG
+ DT 65m2. Nhà 4,5 tầng: chủ tự xây. Chắc chắn. Về sơn lại đẹp long lanh:
- T1: khách, bếp ăn, wc, để xe.
- T2 - 4: mỗi tầng 2 phòng ngủ, 1 wc
- Tum: sân phơi, để đồ.

+ Pháp lý: sổ đỏ chính chủ, vuông đét.","12,5 tỷ",65 m2,"Đường Đền Lừ 1, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",13627264,_,True,Cần bán,40m,True,Nhà mặt tiền,---,True,4m,5,---,16m,5,---,
https://alonhadat.com.vn/hot-mat-pho-truong-dinh-dien-tich-to-so-dep-gia-tot-115tr-m-dan-tri-cao-13626912.html,HÓT MẶT PHỐ TRƯƠNG ĐỊNH- DIỆN TÍCH TO- SỔ ĐẸP- GIÁ TỐT 115TR/M-DÂN TRÍ CAO,"🌻 🌺🌺🌺HÓT MẶT PHỐ TRƯƠNG ĐỊNH - DIỆN TÍCH TO- SỔ ĐẸP - GIÁ TỐT 115tr/m🤩🤩🤩🤩🤩
👌Diện tích 78m, xây 3 tầng, kiên cố chỉ việc dọn Vali vào ở thôi 
Ngõ siêu thoáng , oto con Đậu cửa nè
Khu dân ttrí ao, thân thiện 
Sổ đỏ chính chủ",9 tỷ,78 m2,"Đường Trương Định, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",13626912,_,True,Cần bán,4m,True,Nhà trong hẻm,---,True,5m,3,---,15m,4,---,
https://alonhadat.com.vn/sieu-pham-nha-nguyen-an-ninh-8ngu-5tang-oto-qua-nha-tien-ich-dinh-13624197.html,SIÊU PHẨM NHÀ NGUYỄN AN NINH- 8NGỦ- 5TẦNG-OTO QUA NHÀ-TIỆN ÍCH ĐỈNH,"🌺 🌺🌺🌺🌺SIÊU PHẨM PHÂN LÔ NGUYỄN AN NINH- 8 NGỦ - 5 TẦNG- CHỦ TỰ XÂY - OTO QUA NHÀ
Diện tích 45.2m - 5 tầng 
Mặt tiền 5.67m
Nhà cách Mặt phố Chỉ vài Bước Chân 
Kết cấu: nhà 5 tầng, 8 ngủ, 4wc
Nhà 2 cửa 2 hướng chính Tây và chính Nam, nội thất cơ bản 
Sổ đỏ chính chủ","6,4 tỷ",45 m2,"Đường Nguyễn An Ninh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",13624197,_,True,Cần bán,5m,True,Nhà trong hẻm,---,True,6m,5,---,6m,8,---,
https://alonhadat.com.vn/ban-nha-vu-van-can-ha-dong-37m2-5-tang-o-to-vao-nha-nhinh-6-ty-13085587.html,BÁN NHÀ Vũ Văn Cẩn Hà Đông 37m2- 5 tầng Ô TÔ Vào Nhà nhỉnh 6 tỷ,"Ô TÔ VÀO NHÀ – TẶNG FULL NỘI THẤT -
THOÁNG TRƯỚC VĨNH VIỄN – TIỆN ÍCH ĐÔ THỊ - TIẾP GIÁP CHỢ CÂY VẠN PHÚC - NHÀ ĐẸP MÊ LY - NHÌN LÀ THÍCH XEM LÀ MÊ- Ở CỰC PHÊ
+ Nhà bán nằm ngay chợ làng nghề Vạn Phúc trước nhà thoáng thoáng viễn ô tô vào nhà thoải mái phía trước có khoảng sân rộng ô tô đỗ cả ngày đêm 5 đến 7 chỗ thoải mái.
+ Tặng full nội thất : giường, tủ, điều hòa, nóng lạnh,……
+ Khu vực đang rất phát triển cả khu buôn bán hấp tấp cả ngày đêm vài bước ra phố chẳng thiếu gì.
+ Nhà bán vị trí cực đắc địa vị trí trung tâm gần ngã tự Vạn Phúc giao thông thuận lợi đi đâu cũng tiện.
+ Nhà xây 5 tầng BTCT chịu lực, phong cách kiến ​​trúc hiện đại.
+ Thiết kế Tối ưu hoá công năng sử dụng, xây dựng kiên cố, khách về chỉ việc ở
+ Gọi ngay khi bán song, hỗ trợ pháp lý, hỗ trợ bank","6,15 tỷ",37 m2,"Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội",13085587,_,---,Cần bán,4m,---,Nhà trong hẻm,---,---,---,5,---,---,4,---,
https://alonhadat.com.vn/ban-nha-thanh-binh-mo-lao-ha-dong-45m2-6-tang-gan-o-to-nhinh-7-ty-13085589.html,BÁN NHÀ Thanh Bình Mỗ Lao Hà Đông 45m2- 6 Tầng Gần Ô TÔ nhỉnh 7 tỷ,"CCMN - 10 PHÒNG - FULL NỘI THẤT - THIẾT KẾ CHI TIẾT 
+ Trung tâm Mộ Lao, ngay Big C Hà Đông xây dựng tòa CCMN 6 tầng nổi.
- Tầng 1: Thông sàn.
- Tầng 23456: Tổng 10 phòng.
+ Trong mỗi phòng khép kín chủ trang được trang bị đầy đủ thiết bị: tủ phơi, tủ quần áo, sofa, tủ lạnh, tủ máy giặt, bếp, tủ bếp, tủ bếp, thiết bị nhà tắm, nóng lạnh, thiết bị bếp..... Tất cả both in one.
+ Trung tâm Mộ Lao, gần nhiều trường ĐH lớn nhỏ nơi cơ quan công sở....luôn cháy phòng vì cầu cực lớn.
+ Nhà đang cho thuê phun phòng giá hoàn thiện đầy đủ nội thất
+ Khách về là được có dòng tiền ngay 
+ Thiết kế tối ưu hoá công năng sử dụng, xây dựng kiên cố 
+ Sổ đỏ chính chủ vuông đét két.
+ Gọi ngay khi bán song, hỗ trợ pháp lý, hỗ trợ bank","7,2 tỷ",45 m2,"Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội",13085589,_,---,Cần bán,3m,---,Nhà trong hẻm,---,---,---,6,---,---,10,---,
https://alonhadat.com.vn/ban-nha-phan-lo-ho-den-lu-via-he-oto-dt-45m-5-tang-gia-6-4-ty-8334570.html,"Bán nhà Phân lô Hồ Đền Lừ, vỉa hè, oto. DT 45m * 5 tầng, giá 6,4 tỷ","PHÂN LÔ LIỀN KỀ - VỈA HÈ - Ô TÔ TRÁNH - KINH DOANH - GẦN HỒ 
Mô tả:
-  Vị trí đắc địa ngôi nhà năm trong khu vực phân lô liền kề của Đền Lừ, khu vực đáng sống nhất quận Hoàng Mai, đi bộ ba bước ra hồ Đền Lừ, trước nhà có khoảng đất vườn hoa hiện tại các hộ dân xung quanh đang tận dụng để trồng rau sạch.
- Nhà mới được thiết kế theo kiến trúc hiện đại rất đẹp và chắc chắn, chủ nhà có 2 nhà nên bán đi 1 cái.
-  Nhà ngay Ủy ban phường, Nhà Văn Hóa, chợ Hoàng Mai, Trường cấp mầm non, cấp 1,2 đi bộ ba bước chân,...
- Thiết kế 5 tầng:
+ Tầng 1: Khách, bếp, wc.
+ Tầng 2,3: 4 ngủ,wc.
+ Tầng 4: Phòng thờ, ngủ.
+ Tầng 5: Sân phơi.
- Sổ đỏ vuông như tờ A4","6,4 tỷ",45 m2,"Đường  Hồ Đền Lừ, Quận Hoàng Mai, Hà Nội",8334570,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,"3,5m",5,---,"12,8m",5,---,
https://alonhadat.com.vn/ban-nha-ngo-pho-giap-bat-dt-44m2-4-tang-gia-3-5-ty-4649291.html,"Bán nhà ngõ phố Giáp Bát, DT 44m2 * 4 tầng. Giá 3,5 tỷ","HAI MẶT THOÁNG - BÁN GẤP - GIÁ ĐẸP
Mô Tả:
- Nhà 4 tầng chủ tự xây được khoảng 10 năm, thời giá khi đó hết hơn 800 triệu, nhưng vẫn còn mới 95%. Tầng 1 là 44m2 từ tầng 2 đua ra thành 47m. Thiết kế tầng 2 phòng, tổng 4PN. Thửa đất vuông vắn, mặt tiền rộng hiếm có.

- Nội thất đẹp, cửa và cầu thang bằng gỗ gụ, các phòng bố trí đẹp, bắt mắt. Sau nhà có khe thoáng 1m, phòng nào cũng có cửa sổ.

- Ngõ rộng, cách đường Giáp Bát vài chục mét, cách phố Kim Đồng khoảng 200m.

- Nhà gần Hồ Đền Lừ, Bến xe Giáp Bát, Bệnh viện Bạch Mai, Đại học KTQD... tất cả chỉ trong bán kính 2Km.

- Chủ có việc cần bán gấp nên chào sát giá để bán cho nhanh, giá chào chưa đến 80 triệu/m2. Nhà đẹp, rẻ nhất khu này mà vị trí thì quá ổn.
LH A Trình","3,5 tỷ",44 m2,"Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",4649291,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,4m",4,---,10m,4,---,
https://alonhadat.com.vn/nha-dep-hien-dai-yen-hoa-cau-giay-45m2x4-tang-chi-4-99-ty-8364121.html,"NHÀ ĐẸP, HIỆN ĐẠI, Yên Hòa, Cầu Giấy 45m2x4 tầng CHỈ 4,99 tỷ","- Căn nhà nằm trong trung tâm quận Cầu Giấy, giao thông tiện lợi thông các tuyến Phố Nguyễn Khang, Hoa Bằng, Trung Kính, tiện ích xung quanh nhà đầy đủ: cách chợ 100m, công viên Yên Hoà 400m,  cách trường cấp I, II, III Yên Hoà chỉ 500m, cách Bệnh viện Giao thông Vận tải, Huyết học truyền máu 10' di chuyển bằng xe máy...

- Căn nhà 2 mặt thoáng trước sau vĩnh viễn. Khung bê tông, xây tường 20 chắc chắn. Thiết kế sang trọng hiện, đại, đáp ứng mọi nhu cầu, khách mua chỉ việc xách va ly về ở.

- Sổ đỏ chính chủ, vuông đẹp, pháp lý chuẩn.
- Giá CHỈ: 4,99 tỷ, có thương lượng.
- Liên hê: Long Bình.","4,99 tỷ",45 m2,"Đường Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",8364121,_,True,Cần bán,"2,5m",True,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,True,"3,6m",4,---,---,5,---,
